Abacinate, LL
Abactinal, L
Abactor, L
Abaculus, L
Abacus, L
Abalienate, L
Abalienation, L
Abandon, F
Abandon, F
Abandum, LL
Abannation, Abannition, LL
Abarticulation, L
Abase, F
Abased, F
Abash, OE
Abatis, Abattis, F
Abattoir, F
Abature, F
Abatvoix, F
Abaxial, Abaxile, L
Abb, AS
Abbacy, L
Abbatial, LL
Abb\'82, F
Abbot, AS
Abbreviate, L
Abbreviate, L
Abbreviation, LL
Abbreviator, LL
Abderite, L
Abdicant, L
Abdicate, L
Abdication, L
Abdicative, L
Abditive, L
Abditory, L
Abdomen, L
Abdominoscopy, L
Abduce, L
Abduct, L
Abduction, L
Abear, AS
Abecedarian, L
Aberr, L
Aberrant, L
Aberrate, L
Aberration, L
Aberuncate, L
Abhominal, L
Abhor, L
Abhorrent, L
Abide, AS
Abies, L
Abietene, L
Ability, F
Abime or Abyme, F
Abject, L
Abjection, F
Abjudicate, L
Abjugate, L
Abjunctive, L
Abjuration, L
Abjure, L
Ablactate, L
Ablaqueate, L
Ablaqueation, L
Ablation, L
Ablative, F
able, F
Ablegate, L
Ablegation, L
Ablet, Ablen, F
Abligate, L
Abligurition, L
Ablude, L
Abluent, L
Ablution, L
Abluvion, LL
Abnegate, L
Abnegation, L
Abnegative, L
Abnodate, L
Abnormity, LL
Abnormous, L
Abode, OE
Abolish, F
Abolition, L
Abominable, F
Abominate, L
Abomination, OE
Aboral, L
Abord, F
Abord, F
Aboriginess, L
Abort, L
Abort, L
Aborticide, L
Abortifacient, L
Abortion, L
Abortive, L
Abound, OE
About, OE
Above, OE
Abracadabra, L
Abrade, L
Abraid, OE
Abrase, L
Abrasion, L
Abrenounce, L
Abrenunciation, LL
Abreption, L
Abreuvoir, F
Abridge, OE
Abridgment, OE
Abroach, OE
Abrogate, L
Abrogate, L
Abrogation, L
Abrupt, L
Abrupt, L
Abruption, L
Abscess, L
Abscession, L
Abscind, L
Abscision, L
Abscissa, L
Abscission, L
Abscond, L
Absence, F
Absent, F
Absentaneous, LL
Absinth, Absinthe, F
Absinthium, L
Absist, L
Absolute, L
Absolution, F
Absolutory, L
Absolve, L
Absolvent, L
Absonant, L
Absonous, L
Absorb, L
Absorbent, L
Absorpt, L
Absorption, L
Absque hoc, L
Abstain, OE
Abstemious, L
Abstention, F
Absterge, L
Abstergent, L
Abstersion, F
Abstinence, F
Abstinent, F
Abstract, L
Abstrude, L
Abstruse, L
Abstrusion, L
Absume, L
Absumption, L
Absurd, L
Absurdity, L
Abundance, OE
Abundant, OE
Abuse, F
Abuse, F
Abusion, OE
Aby, Abye, AS
Abyss, L
Acacia, L
Academe, L
Academic, Academical, L
Academician, F
Academist, F
Academy, F
Acajou, F
Acanthine, L
Acanthus, L
Acatalectic, L
Accede, L
Accelerate, L
Acceleration, L
Accend, L
Accensor, LL
Accent, F
Accentor, L
Accentuate, LL
Accentuation, LL
Accept, F
Acceptability, LL
Acceptable, F
Acceptilation, L
Acception, L
Acceptor, L
Access, F
Accessibility, L
Accessible, L
Accession, L
Accessory, L
Accident, F
Accipient, L
Accipiter, L
Accipitres, L
Accite, L
Acclaim, L
Acclamation, L
Acclimate, F
Acclivity, L
Acclivous, L
Accoil, OE
Accolade, F
Accombination, L
Accommodate, L
Accommodate, L
Accommodation, L
Accompaniment, F
Accompletive, L
Accomplish, OE
Accomplishment, F
Accord, OE
Accord, OE
Accorporate, L
Accost, F
Accouchement, F
Accoucheur, F
Accoucheuse, F
Account, OE
Accouter, Accoutre, F
Accouterments, Accoutrements, F
Accredit, F
Accresce, L
Accrescence, LL
Accrescent, L
Accretion, L
Accriminate, L
Accroach, OE
Accrue, F
Accubation, L
Accumb, L
Accumulate, L
Accumulate, L
Accumulation, L
Accumulator, L
Accurate, L
Accurse, OE
Accusable, L
Accusant, L
Accusative, F
Accusatory, L
Accuse, L
Accuser, OE
Ace, OE
Acephali, LL
Acerb, L
Acerbate, L
Acerbitude, L
Acerbity, F
Aceric, L
Acerval, L
Acervate, L
Acervation, L
Acescent, L
Acetabuliferous, L
Acetabuliform, L
Acetabulum, L
Acetarious, L
Acetary, L
Acetate, L
Acetic, L
Acetify, L
Acetimeter, L
Acetosity, LL
Acetous, L
Acetyl, L
Ach, Ache, F
Ach\'91an, Achaian, L
Acharnement, F
Achate, F
Ache, OE
Ache, OE
Acheron, L
Achieve, OE
Achilles' tendon, L
Acicula, L
Aciculiform, L
Acid, L
Acidiferous, L
Acidify, L
Acidimeter, L
Acidimetry, L
Acidity, L
Acidulous, L
Acierage, F
Aciform, L
Acinaceous, L
Acinaces, L
Acinaciform, L
Aciniform, L
Acinose, Acinous, L
Acinus, L
Acipenser, L
Acnode, L
Acolyte, LL
Aconite, L
Aconitum, L
Acorn, AS
Acouchy, F
Acoustic, F
Acquaint, OE
Acquaintance, OE
Acquiesce, L
Acquiescent, L
Acquiet, LL
Acquire, L
Acquisite, L
Acquisition, L
Acquit, OE
Acre, OE
Acrid, L
Acrimony, L
Acrisia, Acrisy, LL
Acritude, L
Acrity, L
Acrobat, F
Acroceraunian, L
Acrolein, L
Acrolith, L
Acroter, F
Acroterium, L
Act, L
Act, L
Active, F
Actor, L
Actual, OE
Actuary, L
Actuate, LL
Actuate, LL
Actuose, L
Acuate, L
Acuition, L
Acuity, LL
Aculeate, L
Aculeolate, L
Aculeus, L
Acumen, L
Acuminate, L
Acupressure, L
Acupuncture, L
Acute, L
Acutifoliate, L
Acutilobate, L
Adact, L
Adage, F
Adamant, OE
Adamantean, L
Adamantine, L
Adambulacral, L
Adapt, L
Adarce, L
Adaunt, OE
Adaw, OE
